,Date,USSWAP1,USSWAP2,USSWAP3,USSWAP4,USSWAP5,USSWAP6,USSWAP7,USSWAP8,USSWAP9,USSWAP10,USSWAP15,USSWAP20,USSWAP25,USSWAP30
46,2013-04-09,0.32,0.378,0.486,0.663,0.885,1.131,1.369,1.5785,1.764,1.929,2.473,2.704,2.8185,2.883
47,2013-04-10,0.3164,0.3758,0.492,0.675,0.907,1.16,1.403,1.614,1.805,1.97,2.523,2.761,2.876,2.9417
48,2013-04-11,0.313,0.3713,0.4853,0.669,0.902,1.152,1.3902,1.602,1.7923,1.958,2.5121,2.752,2.868,2.936
49,2013-04-12,0.3191,0.3724,0.476,0.646,0.868,1.11,1.342,1.55,1.7343,1.897,2.441,2.676,2.79,2.856
50,2013-04-15,0.3185,0.368,0.4676,0.634,0.854,1.0882,1.313,1.5152,1.693,1.852,2.384,2.6121,2.723,2.786
51,2013-04-16,0.316,0.3678,0.4755,0.6482,0.875,1.1165,1.347,1.5525,1.735,1.8965,2.433,2.663,2.775,2.839
52,2013-04-17,0.316,0.37,0.475,0.6435,0.8629,1.1016,1.3237,1.5245,1.704,1.863,2.393,2.621,2.7319,2.795
53,2013-04-18,0.312,0.3667,0.474,0.645,0.8611,1.0945,1.3165,1.515,1.692,1.851,2.3755,2.6005,2.7095,2.7722
54,2013-04-19,0.312,0.3704,0.4812,0.6545,0.875,1.111,1.334,1.536,1.715,1.873,2.4019,2.628,2.7375,2.8005
55,2013-04-22,0.3065,0.3615,0.47,0.641,0.86,1.098,1.3235,1.5275,1.7069,1.866,2.399,2.627,2.737,2.801
56,2013-04-23,0.308,0.3635,0.4737,0.6508,0.877,1.116,1.345,1.5495,1.7315,1.893,2.4315,2.663,2.7755,2.841
57,2013-04-24,0.3055,0.36,0.4677,0.64,0.863,1.102,1.33,1.537,1.718,1.88,2.4215,2.653,2.766,2.8315
58,2013-04-25,0.3075,0.363,0.4719,0.6425,0.864,1.103,1.3315,1.538,1.722,1.884,2.4275,2.6615,2.775,2.842
59,2013-04-26,0.3064,0.359,0.46,0.626,0.842,1.075,1.299,1.503,1.6823,1.844,2.383,2.616,2.73,2.7965
60,2013-04-29,0.2945,0.3463,0.4505,0.617,0.8295,1.065,1.2905,1.499,1.681,1.843,2.3906,2.627,2.744,2.8115
61,2013-04-30,0.295,0.348,0.454,0.6217,0.837,1.073,1.299,1.504,1.686,1.848,2.391,2.626,2.743,2.81
62,2013-05-01,0.2935,0.342,0.44,0.6045,0.8175,1.05,1.2748,1.4776,1.658,1.821,2.36,2.592,2.7073,2.774
63,2013-05-02,0.2895,0.3379,0.4367,0.6022,0.815,1.045,1.267,1.469,1.6495,1.809,2.3482,2.5785,2.694,2.7595
64,2013-05-03,0.3,0.357,0.472,0.6566,0.887,1.131,1.3605,1.569,1.7538,1.918,2.4671,2.7025,2.819,2.889
65,2013-05-06,0.2995,0.358,0.4786,0.666,0.901,1.1455,1.378,1.588,1.775,1.941,2.49,2.728,2.846,2.9145
66,2013-05-07,0.3025,0.364,0.486,0.6766,0.9125,1.1595,1.3928,1.603,1.79,1.9562,2.5065,2.7445,2.862,2.931
67,2013-05-08,0.301,0.358,0.4775,0.6675,0.9027,1.149,1.384,1.594,1.782,1.949,2.501,2.7398,2.8582,2.9275
68,2013-05-09,0.3015,0.359,0.4825,0.6755,0.912,1.1588,1.3915,1.602,1.7905,1.958,2.5111,2.751,2.87,2.94
69,2013-05-10,0.3055,0.371,0.51,0.721,0.974,1.23,1.468,1.683,1.874,2.041,2.596,2.836,2.955,3.024
70,2013-05-13,0.31,0.3804,0.52,0.73,0.983,1.2415,1.4825,1.702,1.893,2.0635,2.6265,2.872,2.991,3.0635
71,2013-05-14,0.3115,0.3871,0.5361,0.757,1.02,1.2845,1.5315,1.75,1.9448,2.116,2.6822,2.9281,3.049,3.1205
72,2013-05-15,0.3085,0.3815,0.522,0.735,0.9885,1.2474,1.4898,1.7065,1.9,2.071,2.6365,2.883,3.0055,3.0765
73,2013-05-16,0.3075,0.3733,0.5049,0.7075,0.9505,1.202,1.4375,1.651,1.841,2.009,2.571,2.817,2.939,3.0105
74,2013-05-17,0.3175,0.3898,0.5278,0.74,0.9931,1.2555,1.5005,1.7207,1.9155,2.087,2.651,2.895,3.017,3.087
75,2013-05-20,0.3107,0.3869,0.53,0.744,1.0005,1.264,1.511,1.7332,1.9268,2.098,2.66,2.9035,3.024,3.094
76,2013-05-21,0.311,0.383,0.521,0.731,0.982,1.239,1.482,1.696,1.886,2.055,2.6112,2.853,2.972,3.0413
77,2013-05-22,0.314,0.3945,0.5515,0.7879,1.062,1.3335,1.585,1.807,2.001,2.171,2.724,2.9571,3.0715,3.136
78,2013-05-23,0.3155,0.399,0.5605,0.7925,1.062,1.329,1.576,1.794,1.987,2.1535,2.6975,2.93,3.0425,3.106
79,2013-05-24,0.318,0.4055,0.565,0.801,1.0719,1.339,1.5879,1.8013,1.992,2.16,2.702,2.9285,3.033,3.097
80,2013-05-28,0.3533,0.473,0.6721,0.9396,1.2315,1.509,1.759,1.977,2.169,2.3345,2.865,3.0875,3.1955,3.256
81,2013-05-29,0.3395,0.4558,0.6505,0.909,1.191,1.463,1.709,1.923,2.114,2.276,2.8016,3.0205,3.1265,3.1865
82,2013-05-30,0.3365,0.4572,0.651,0.9111,1.192,1.4645,1.711,1.928,2.1152,2.28,2.807,3.0275,3.135,3.1967
83,2013-05-31,0.3364,0.4585,0.6585,0.921,1.2063,1.484,1.7342,1.9525,2.1415,2.305,2.83,3.05,3.155,3.215
84,2013-06-03,0.3305,0.455,0.6607,0.93,1.218,1.493,1.74,1.956,2.1415,2.3025,2.8265,3.0445,3.1495,3.209
85,2013-06-04,0.332,0.4645,0.6755,0.9548,1.251,1.529,1.779,1.9924,2.1795,2.342,2.869,3.09,3.196,3.256
86,2013-06-05,0.336,0.458,0.6595,0.926,1.211,1.483,1.727,1.939,2.123,2.283,2.8028,3.0198,3.125,3.184
87,2013-06-06,0.34,0.4631,0.6652,0.928,1.205,1.4735,1.7159,1.9265,2.11,2.2702,2.7895,3.0057,3.111,3.17
88,2013-06-07,0.3405,0.4847,0.716,0.999,1.2928,1.568,1.814,2.025,2.209,2.368,2.881,3.0955,3.199,3.257
89,2013-06-10,0.3395,0.4923,0.7365,1.0335,1.337,1.6175,1.8635,2.0774,2.258,2.4185,2.929,3.1385,3.24,3.2953
90,2013-06-11,0.3455,0.501,0.7364,1.024,1.321,1.596,1.84,2.049,2.227,2.3845,2.881,3.079,3.172,3.225
91,2013-06-12,0.3405,0.5,0.7445,1.0411,1.3455,1.6245,1.872,2.082,2.2645,2.4235,2.925,3.127,3.223,3.2755
92,2013-06-13,0.3215,0.4444,0.6625,0.945,1.24,1.519,1.766,1.98,2.1665,2.327,2.8401,3.0516,3.1536,3.2125
93,2013-06-14,0.3165,0.4305,0.647,0.927,1.222,1.4985,1.746,1.961,2.147,2.308,2.825,3.0385,3.1425,3.2005
94,2013-06-17,0.314,0.4263,0.6487,0.94,1.249,1.5341,1.786,2.0061,2.1941,2.3575,2.874,3.0833,3.184,3.241
95,2013-06-18,0.314,0.4239,0.646,0.943,1.255,1.5425,1.798,2.017,2.204,2.3685,2.882,3.0888,3.188,3.244
96,2013-06-19,0.327,0.4727,0.7578,1.118,1.475,1.7729,2.0234,2.2325,2.4084,2.5615,3.0252,3.203,3.282,3.3245
97,2013-06-20,0.3415,0.5088,0.81,1.178,1.5352,1.8425,2.1001,2.3137,2.4909,2.643,3.119,3.2955,3.3772,3.421
98,2013-06-21,0.3705,0.5652,0.893,1.278,1.6485,1.963,2.223,2.434,2.609,2.762,3.22,3.3797,3.4514,3.487
99,2013-06-24,0.3959,0.5795,0.894,1.2839,1.66,1.9735,2.2305,2.442,2.617,2.763,3.2125,3.366,3.4324,3.4653
100,2013-06-25,0.3953,0.5835,0.905,1.3054,1.6885,2.0135,2.2815,2.4985,2.679,2.832,3.29,3.4425,3.5095,3.543
101,2013-06-26,0.367,0.5335,0.8473,1.2355,1.6105,1.9295,2.195,2.413,2.5965,2.751,3.2265,3.3965,3.4714,3.512
102,2013-06-27,0.355,0.5056,0.8035,1.1815,1.5445,1.856,2.116,2.334,2.517,2.674,3.1605,3.332,3.414,3.4578
103,2013-06-28,0.3575,0.511,0.819,1.198,1.566,1.881,2.146,2.36,2.543,2.697,3.17,3.336,3.41,3.448
104,2013-07-01,0.362,0.5174,0.8164,1.1903,1.5565,1.8755,2.1403,2.3607,2.541,2.695,3.162,3.323,3.395,3.4315
105,2013-07-02,0.367,0.5226,0.8175,1.1935,1.5616,1.878,2.1425,2.3585,2.539,2.693,3.1625,3.329,3.4025,3.441
106,2013-07-03,0.381,0.551,0.854,1.2425,1.613,1.93,2.175,2.404,2.5635,2.7185,3.204,3.364,3.435,3.4715
107,2013-07-04,0.379,0.522,0.852,1.239,1.613,1.925,2.193,2.404,2.581,2.734,3.199,3.363,3.429,3.471
108,2013-07-05,0.3845,0.585,0.9505,1.3935,1.818,2.1645,2.4421,2.661,2.842,2.994,3.459,3.62,3.6915,3.727
109,2013-07-08,0.358,0.5391,0.8753,1.2887,1.695,2.0405,2.3194,2.545,2.7267,2.8825,3.3624,3.5327,3.606,3.6465
110,2013-07-09,0.3565,0.536,0.8612,1.271,1.6694,2.0135,2.2968,2.5199,2.7058,2.8615,3.3471,3.5201,3.5988,3.638
111,2013-07-10,0.354,0.5164,0.8316,1.2315,1.627,1.9754,2.2632,2.492,2.6794,2.8395,3.335,3.512,3.5945,3.6365
112,2013-07-11,0.3435,0.4982,0.798,1.185,1.5696,1.911,2.1985,2.4298,2.623,2.7905,3.29,3.4765,3.5625,3.608
113,2013-07-12,0.3585,0.527,0.838,1.2242,1.608,1.9445,2.226,2.453,2.645,2.8055,3.301,3.484,3.5691,3.6135
114,2013-07-15,0.3495,0.51,0.808,1.184,1.564,1.8965,2.176,2.404,2.594,2.7545,3.2571,3.445,3.5325,3.579
115,2013-07-16,0.3415,0.495,0.7925,1.1744,1.557,1.889,2.169,2.394,2.583,2.745,3.247,3.4365,3.5244,3.571
116,2013-07-17,0.3335,0.475,0.753,1.116,1.488,1.8212,2.1039,2.334,2.53,2.695,3.2146,3.412,3.506,3.5568
117,2013-07-18,0.3345,0.4796,0.76,1.132,1.511,1.847,2.132,2.3665,2.563,2.732,3.259,3.459,3.555,3.609
118,2013-07-19,0.3335,0.474,0.7495,1.11,1.481,1.816,2.0985,2.331,2.525,2.6905,3.204,3.4,3.4915,3.5395
119,2013-07-22,0.3375,0.478,0.7504,1.1115,1.484,1.818,2.1,2.332,2.5245,2.6895,3.2015,3.394,3.486,3.5345
120,2013-07-23,0.342,0.4848,0.7578,1.123,1.498,1.832,2.116,2.3465,2.5405,2.706,3.221,3.4185,3.51,3.558
121,2013-07-24,0.348,0.5089,0.8007,1.184,1.567,1.908,2.1945,2.426,2.619,2.785,3.294,3.4875,3.575,3.622
122,2013-07-25,0.3335,0.4771,0.7676,1.1555,1.545,1.888,2.1752,2.41,2.605,2.772,3.284,3.481,3.575,3.623
123,2013-07-26,0.3335,0.4735,0.762,1.1505,1.5415,1.884,2.172,2.4035,2.597,2.7635,3.274,3.466,3.557,3.605
124,2013-07-29,0.333,0.4775,0.7705,1.1625,1.556,1.903,2.193,2.431,2.628,2.7955,3.3145,3.51,3.604,3.655
125,2013-07-30,0.331,0.478,0.772,1.164,1.5579,1.91,2.2,2.436,2.6335,2.802,3.321,3.5205,3.6145,3.6655
126,2013-07-31,0.3325,0.4775,0.7728,1.1615,1.552,1.8965,2.185,2.416,2.6051,2.7705,3.281,3.476,3.568,3.617
127,2013-08-01,0.3345,0.499,0.825,1.2485,1.664,2.0195,2.3055,2.543,2.731,2.8945,3.4,3.5915,3.681,3.727
128,2013-08-02,0.326,0.4685,0.76,1.1425,1.53,1.878,2.171,2.407,2.6047,2.7717,3.2965,3.4965,3.5915,3.642
129,2013-08-05,0.3285,0.4791,0.7768,1.166,1.5595,1.912,2.2078,2.447,2.6428,2.811,3.339,3.5435,3.6395,3.6915
130,2013-08-06,0.3272,0.4842,0.785,1.1755,1.5705,1.9235,2.222,2.461,2.659,2.8285,3.352,3.5525,3.647,3.6968
131,2013-08-07,0.327,0.48,0.777,1.1585,1.543,1.889,2.182,2.417,2.614,2.781,3.305,3.506,3.601,3.651
132,2013-08-08,0.3274,0.48,0.7768,1.157,1.535,1.877,2.166,2.401,2.597,2.7655,3.289,3.49,3.586,3.638
133,2013-08-09,0.3261,0.475,0.7733,1.15,1.527,1.866,2.1533,2.387,2.581,2.7468,3.27,3.472,3.5685,3.62
134,2013-08-12,0.327,0.4807,0.7845,1.172,1.561,1.904,2.195,2.43,2.625,2.7915,3.318,3.5205,3.618,3.6695
135,2013-08-13,0.3375,0.51,0.8402,1.252,1.6555,2.0065,2.299,2.533,2.726,2.8895,3.404,3.6,3.693,3.7415
136,2013-08-14,0.335,0.5045,0.837,1.249,1.654,2.003,2.294,2.5255,2.717,2.8795,3.3875,3.5845,3.676,3.725
137,2013-08-15,0.342,0.5265,0.88,1.2994,1.702,2.0525,2.343,2.575,2.7665,2.93,3.435,3.629,3.72,3.768
138,2013-08-16,0.339,0.53,0.902,1.337,1.749,2.1055,2.401,2.6375,2.832,2.9945,3.487,3.676,3.763,3.809
139,2013-08-19,0.3435,0.5442,0.927,1.375,1.799,2.165,2.466,2.7055,2.896,3.061,3.551,3.7365,3.822,3.866
140,2013-08-20,0.3365,0.5274,0.889,1.322,1.735,2.097,2.399,2.639,2.8354,3.0005,3.5014,3.6945,3.785,3.833
141,2013-08-21,0.3475,0.5546,0.948,1.406,1.8355,2.2015,2.499,2.735,2.925,3.086,3.581,3.7695,3.8585,3.906
142,2013-08-22,0.354,0.58,0.996,1.4515,1.871,2.226,2.516,2.744,2.9301,3.085,3.5635,3.7405,3.8255,3.872
143,2013-08-23,0.3425,0.5603,0.961,1.4025,1.8085,2.1565,2.442,2.6705,2.853,3.008,3.4845,3.6635,3.7468,3.792
144,2013-08-26,0.3405,0.548,0.9361,1.37,1.772,2.1175,2.4025,2.631,2.817,2.971,3.448,3.632,3.7165,3.7625
145,2013-08-27,0.338,0.5365,0.906,1.322,1.707,2.046,2.327,2.5543,2.739,2.8955,3.376,3.5575,3.644,3.6895
146,2013-08-28,0.344,0.5574,0.943,1.37,1.7636,2.104,2.384,2.6125,2.798,2.9535,3.4315,3.614,3.6985,3.743
147,2013-08-29,0.343,0.565,0.954,1.379,1.77,2.108,2.388,2.612,2.797,2.9515,3.428,3.5995,3.6815,3.7228
148,2013-08-30,0.3395,0.568,0.969,1.4055,1.8075,2.144,2.422,2.645,2.828,2.981,3.438,3.608,3.683,3.7205
149,2013-09-03,0.3445,0.5885,0.989,1.427,1.8295,2.1775,2.465,2.693,2.879,3.034,3.504,3.68,3.7585,3.797
150,2013-09-04,0.356,0.626,1.0402,1.486,1.895,2.236,2.52,2.7425,2.9245,3.076,3.5305,3.698,3.773,3.809
151,2013-09-05,0.363,0.67,1.1259,1.5925,2.005,2.351,2.6315,2.8525,3.033,3.1847,3.6375,3.807,3.882,3.919
152,2013-09-06,0.3408,0.616,1.05,1.502,1.91,2.259,2.545,2.774,2.961,3.1175,3.5915,3.771,3.851,3.892
153,2013-09-09,0.3375,0.6015,1.013,1.455,1.864,2.214,2.503,2.736,2.9255,3.085,3.565,3.7455,3.828,3.8705
154,2013-09-10,0.3435,0.6218,1.0445,1.499,1.917,2.2665,2.552,2.783,2.9695,3.1255,3.603,3.779,3.8605,3.9025
155,2013-09-11,0.3395,0.5957,1.0014,1.45,1.865,2.2145,2.501,2.7305,2.919,3.0765,3.551,3.7315,3.815,3.8565
156,2013-09-12,0.341,0.5945,1.009,1.459,1.871,2.2155,2.498,2.7245,2.911,3.068,3.5405,3.7215,3.804,3.8475
157,2013-09-13,0.3415,0.593,1.009,1.457,1.864,2.204,2.485,2.71,2.896,3.051,3.5273,3.7125,3.7971,3.842
158,2013-09-16,0.3254,0.5461,0.938,1.38,1.79,2.137,2.4285,2.664,2.857,3.0205,3.518,3.714,3.806,3.8545
159,2013-09-17,0.322,0.531,0.915,1.3635,1.7805,2.128,2.416,2.6455,2.8365,2.997,3.486,3.6775,3.768,3.8153
160,2013-09-18,0.315,0.4835,0.8034,1.2075,1.603,1.9448,2.235,2.472,2.673,2.841,3.356,3.5658,3.663,3.718
161,2013-09-19,0.3125,0.4959,0.844,1.264,1.67,2.0175,2.3045,2.5435,2.741,2.909,3.423,3.6335,3.731,3.785
162,2013-09-20,0.3125,0.4878,0.8313,1.2515,1.658,2.006,2.2945,2.5305,2.728,2.8915,3.395,3.597,3.6935,3.7445
163,2013-09-23,0.3095,0.48,0.815,1.2235,1.622,1.966,2.254,2.49,2.686,2.8515,3.3555,3.558,3.6535,3.705
164,2013-09-24,0.313,0.4805,0.8028,1.206,1.599,1.9375,2.2215,2.4525,2.6453,2.8088,3.307,3.5065,3.6018,3.6525
165,2013-09-25,0.3125,0.47,0.782,1.176,1.563,1.901,2.186,2.4185,2.614,2.779,3.288,3.4945,3.594,3.648
166,2013-09-26,0.314,0.474,0.793,1.189,1.5778,1.92,2.2043,2.439,2.635,2.801,3.3113,3.5203,3.6193,3.6737
167,2013-09-27,0.3133,0.4675,0.778,1.1675,1.552,1.892,2.1788,2.415,2.614,2.7805,3.2945,3.5065,3.6063,3.6625
168,2013-09-30,0.3155,0.4604,0.7628,1.1495,1.5375,1.8765,2.163,2.4,2.597,2.764,3.2835,3.498,3.601,3.657
169,2013-10-01,0.3105,0.4665,0.785,1.188,1.584,1.9273,2.213,2.448,2.643,2.8085,3.322,3.5315,3.632,3.688
170,2013-10-02,0.315,0.4587,0.757,1.1503,1.54,1.884,2.1737,2.4125,2.6115,2.783,3.302,3.52,3.6245,3.6825
171,2013-10-03,0.3105,0.4495,0.744,1.137,1.524,1.863,2.1565,2.3965,2.5985,2.7705,3.2997,3.5195,3.626,3.6855
172,2013-10-04,0.315,0.463,0.778,1.177,1.571,1.918,2.2035,2.443,2.643,2.8115,3.328,3.5395,3.6415,3.697
173,2013-10-07,0.3215,0.4713,0.78,1.173,1.5595,1.8995,2.185,2.4225,2.619,2.7845,3.2975,3.5065,3.6075,3.662
174,2013-10-08,0.35,0.502,0.808,1.1907,1.568,1.903,2.1855,2.4185,2.614,2.7765,3.287,3.497,3.5995,3.6555
175,2013-10-09,0.3381,0.4875,0.789,1.184,1.5755,1.917,2.206,2.442,2.6405,2.8085,3.3285,3.5445,3.6477,3.7055
176,2013-10-10,0.327,0.477,0.783,1.1795,1.574,1.922,2.211,2.4495,2.65,2.8175,3.331,3.5405,3.6418,3.6975
177,2013-10-11,0.33,0.4795,0.7745,1.1715,1.5685,1.916,2.21,2.449,2.651,2.82,3.338,3.553,3.656,3.714
178,2013-10-15,0.3283,0.4798,0.7775,1.1795,1.584,1.94,2.239,2.488,2.6875,2.859,3.38,3.5975,3.702,3.7595
179,2013-10-16,0.3185,0.465,0.7575,1.15,1.5465,1.8962,2.1888,2.4285,2.6295,2.7995,3.3205,3.5395,3.645,3.704
180,2013-10-17,0.3055,0.4453,0.7285,1.109,1.492,1.833,2.122,2.36,2.561,2.7295,3.254,3.4745,3.5825,3.6435
181,2013-10-18,0.3042,0.445,0.7335,1.114,1.4975,1.838,2.1225,2.358,2.5565,2.7235,3.2445,3.4633,3.5695,3.6295
182,2013-10-21,0.298,0.448,0.7445,1.127,1.511,1.8525,2.14,2.379,2.577,2.745,3.265,3.4825,3.5895,3.649
183,2013-10-22,0.2924,0.428,0.6995,1.065,1.438,1.7725,2.0565,2.291,2.489,2.6575,3.1845,3.41,3.5202,3.5827
184,2013-10-23,0.2985,0.441,0.7085,1.0705,1.4405,1.7715,2.054,2.287,2.482,2.6515,3.173,3.396,3.504,3.565
185,2013-10-24,0.2975,0.4377,0.711,1.082,1.4565,1.7895,2.072,2.3065,2.5035,2.6731,3.1915,3.412,3.5195,3.58
186,2013-10-25,0.2925,0.4315,0.7005,1.065,1.436,1.774,2.058,2.295,2.4945,2.6635,3.187,3.409,3.516,3.578
187,2013-10-28,0.2955,0.4375,0.702,1.0665,1.442,1.778,2.064,2.301,2.5028,2.671,3.196,3.419,3.5265,3.588
188,2013-10-29,0.2939,0.431,0.691,1.049,1.417,1.751,2.04,2.279,2.4817,2.653,3.18,3.405,3.514,3.576
189,2013-10-30,0.293,0.433,0.702,1.072,1.453,1.789,2.0755,2.313,2.512,2.682,3.208,3.43,3.5405,3.602
190,2013-10-31,0.292,0.4255,0.698,1.0775,1.465,1.8045,2.0935,2.3305,2.53,2.7,3.2205,3.437,3.5425,3.6015
191,2013-11-01,0.288,0.431,0.7205,1.111,1.509,1.857,2.1495,2.392,2.595,2.766,3.286,3.5025,3.609,3.667
192,2013-11-04,0.2854,0.4205,0.707,1.095,1.488,1.8365,2.1305,2.3745,2.577,2.749,3.276,3.499,3.6075,3.6689
193,2013-11-05,0.286,0.422,0.708,1.107,1.515,1.8765,2.1795,2.43,2.6375,2.813,3.346,3.5715,3.681,3.742
